Questions,Answers
Do you think I look stunning today?,"Honestly, I can't tell one way or the other."
Do you think I look ugly,"Honestly, I can't tell one way or the other."
Do you think I look ugly to you today?,"Honestly, I can't tell one way or the other."
Do you think I look ugly to you?,"Honestly, I can't tell one way or the other."
Do you think I look ugly today?,"Honestly, I can't tell one way or the other."
Do you think I seem adorable to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem adorable to you?,"Honestly, I can't tell one way or the other."
Do you think I seem adorable today?,"Honestly, I can't tell one way or the other."
Do you think I seem attractive to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem attractive to you?,"Honestly, I can't tell one way or the other."
Do you think I seem attractive today?,"Honestly, I can't tell one way or the other."
Do you think I seem bad to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem bad to you?,"Honestly, I can't tell one way or the other."
Do you think I seem bad today?,"Honestly, I can't tell one way or the other."
Do you think I seem beautiful to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem beautiful to you?,"Honestly, I can't tell one way or the other."
Do you think I seem beautiful today?,"Honestly, I can't tell one way or the other."
Do you think I seem cute to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem cute to you?,"Honestly, I can't tell one way or the other."
Do you think I seem cute today?,"Honestly, I can't tell one way or the other."
Do you think I seem good to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem good to you?,"Honestly, I can't tell one way or the other."
Do you think I seem good today?,"Honestly, I can't tell one way or the other."
Do you think I seem gorgeous to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem gorgeous to you?,"Honestly, I can't tell one way or the other."
Do you think I seem gorgeous today?,"Honestly, I can't tell one way or the other."
Do you think I seem handsome to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem handsome to you?,"Honestly, I can't tell one way or the other."
Do you think I seem handsome today?,"Honestly, I can't tell one way or the other."
Do you think I seem pretty to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem pretty to you?,"Honestly, I can't tell one way or the other."
Do you think I seem pretty today?,"Honestly, I can't tell one way or the other."
Do you think I seem repulsive to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem repulsive to you?,"Honestly, I can't tell one way or the other."
Do you think I seem repulsive today?,"Honestly, I can't tell one way or the other."
Do you think I seem stunning to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem stunning to you?,"Honestly, I can't tell one way or the other."
Do you think I seem stunning today?,"Honestly, I can't tell one way or the other."
Do you think I seem ugly to you today?,"Honestly, I can't tell one way or the other."
Do you think I seem ugly to you?,"Honestly, I can't tell one way or the other."
Do you think I seem ugly today?,"Honestly, I can't tell one way or the other."
How adorable am I today?,"Honestly, I can't tell one way or the other."
How adorable am I?,"Honestly, I can't tell one way or the other."
How adorable do I look today?,"Honestly, I can't tell one way or the other."
How adorable do I look?,"Honestly, I can't tell one way or the other."
How adorable do you think I am today?,"Honestly, I can't tell one way or the other."
How adorable do you think I am?,"Honestly, I can't tell one way or the other."
How attractive am I today?,"Honestly, I can't tell one way or the other."
How attractive am I?,"Honestly, I can't tell one way or the other."
How attractive do I look today?,"Honestly, I can't tell one way or the other."
How attractive do I look?,"Honestly, I can't tell one way or the other."
How attractive do you think I am today?,"Honestly, I can't tell one way or the other."
How attractive do you think I am?,"Honestly, I can't tell one way or the other."
How bad am I today?,"Honestly, I can't tell one way or the other."
How bad am I?,"Honestly, I can't tell one way or the other."
How bad do I look today?,"Honestly, I can't tell one way or the other."
How bad do I look?,"Honestly, I can't tell one way or the other."
How bad do you think I am today?,"Honestly, I can't tell one way or the other."
How bad do you think I am?,"Honestly, I can't tell one way or the other."
How beautiful am I today?,"Honestly, I can't tell one way or the other."
How beautiful am I?,"Honestly, I can't tell one way or the other."
How beautiful do I look today?,"Honestly, I can't tell one way or the other."
How beautiful do I look?,"Honestly, I can't tell one way or the other."
How beautiful do you think I am today?,"Honestly, I can't tell one way or the other."
How beautiful do you think I am?,"Honestly, I can't tell one way or the other."
How cute am I today?,"Honestly, I can't tell one way or the other."
How cute am I?,"Honestly, I can't tell one way or the other."
How cute do I look today?,"Honestly, I can't tell one way or the other."
How cute do I look?,"Honestly, I can't tell one way or the other."
How cute do you think I am today?,"Honestly, I can't tell one way or the other."
How cute do you think I am?,"Honestly, I can't tell one way or the other."
How good am I today?,"Honestly, I can't tell one way or the other."
How good am I?,"Honestly, I can't tell one way or the other."
How good do I look today?,"Honestly, I can't tell one way or the other."
How good do I look?,"Honestly, I can't tell one way or the other."
How good do you think I am today?,"Honestly, I can't tell one way or the other."
How good do you think I am?,"Honestly, I can't tell one way or the other."
How gorgeous am I today?,"Honestly, I can't tell one way or the other."
How gorgeous am I?,"Honestly, I can't tell one way or the other."
How gorgeous do I look today?,"Honestly, I can't tell one way or the other."
How gorgeous do I look?,"Honestly, I can't tell one way or the other."
How gorgeous do you think I am today?,"Honestly, I can't tell one way or the other."
How gorgeous do you think I am?,"Honestly, I can't tell one way or the other."
How handsome am I today?,"Honestly, I can't tell one way or the other."
How handsome am I?,"Honestly, I can't tell one way or the other."
